,district,day,month,hour,Crime Occurences,Class
15858,SOUTHERN,Wednesday,1,18,391,Extreme
15906,SOUTHERN,Wednesday,3,18,387,Extreme
14298,SOUTHERN,Friday,8,18,383,Extreme
14879,SOUTHERN,Saturday,8,23,380,Extreme
14206,SOUTHERN,Friday,4,22,380,Extreme
14274,SOUTHERN,Friday,7,18,379,Extreme
15930,SOUTHERN,Wednesday,4,18,379,Extreme
15474,SOUTHERN,Thursday,9,18,379,Extreme
14177,SOUTHERN,Friday,3,17,378,Extreme
14902,SOUTHERN,Saturday,9,22,375,Extreme
14203,SOUTHERN,Friday,4,19,372,Extreme
14130,SOUTHERN,Friday,1,18,370,Extreme
14855,SOUTHERN,Saturday,7,23,369,Extreme
15282,SOUTHERN,Thursday,1,18,367,Extreme
14783,SOUTHERN,Saturday,4,23,366,Extreme
14178,SOUTHERN,Friday,3,18,366,Extreme
14297,SOUTHERN,Friday,8,17,365,Extreme
14201,SOUTHERN,Friday,4,17,364,Extreme
14273,SOUTHERN,Friday,7,17,363,Extreme
14279,SOUTHERN,Friday,7,23,361,Extreme
15618,SOUTHERN,Tuesday,3,18,357,Extreme
15738,SOUTHERN,Tuesday,8,18,357,Extreme
14711,SOUTHERN,Saturday,1,23,357,Extreme
15450,SOUTHERN,Thursday,8,18,356,Extreme
16074,SOUTHERN,Wednesday,10,18,352,Extreme
16050,SOUTHERN,Wednesday,9,18,351,Extreme
14976,SOUTHERN,Sunday,1,0,351,Extreme
15904,SOUTHERN,Wednesday,3,16,351,Extreme
14345,SOUTHERN,Friday,10,17,350,Extreme
14134,SOUTHERN,Friday,1,22,349,Extreme
14634,SOUTHERN,Monday,10,18,348,Extreme
14153,SOUTHERN,Friday,2,17,346,Extreme
16049,SOUTHERN,Wednesday,9,17,345,Extreme
15024,SOUTHERN,Sunday,3,0,345,Extreme
14275,SOUTHERN,Friday,7,19,345,Extreme
14759,SOUTHERN,Saturday,3,23,345,Extreme
15762,SOUTHERN,Tuesday,9,18,344,Extreme
14303,SOUTHERN,Friday,8,23,343,Extreme
14807,SOUTHERN,Saturday,5,23,342,Extreme
14346,SOUTHERN,Friday,10,18,342,Extreme
14296,SOUTHERN,Friday,8,16,342,Extreme
14129,SOUTHERN,Friday,1,17,342,Extreme
15283,SOUTHERN,Thursday,1,19,341,Extreme
14688,SOUTHERN,Saturday,1,0,341,Extreme
15144,SOUTHERN,Sunday,8,0,341,Extreme
15737,SOUTHERN,Tuesday,8,17,341,Extreme
14753,SOUTHERN,Saturday,3,17,341,Extreme
15714,SOUTHERN,Tuesday,7,18,341,Extreme
14299,SOUTHERN,Friday,8,19,340,Extreme
15498,SOUTHERN,Thursday,10,18,339,Extreme
14226,SOUTHERN,Friday,5,18,339,Extreme
14322,SOUTHERN,Friday,9,18,338,Extreme
16026,SOUTHERN,Wednesday,8,18,336,Extreme
15473,SOUTHERN,Thursday,9,17,335,Extreme
14903,SOUTHERN,Saturday,9,23,335,Extreme
15903,SOUTHERN,Wednesday,3,15,335,Extreme
14321,SOUTHERN,Friday,9,17,334,Extreme
15096,SOUTHERN,Sunday,6,0,333,Extreme
14154,SOUTHERN,Friday,2,18,333,Extreme
14830,SOUTHERN,Saturday,6,22,332,Extreme
14250,SOUTHERN,Friday,6,18,332,Extreme
15642,SOUTHERN,Tuesday,4,18,332,Extreme
15426,SOUTHERN,Thursday,7,18,332,Extreme
16027,SOUTHERN,Wednesday,8,19,331,Extreme
14873,SOUTHERN,Saturday,8,17,331,Extreme
15616,SOUTHERN,Tuesday,3,16,330,Extreme
16023,SOUTHERN,Wednesday,8,15,330,Extreme
15451,SOUTHERN,Thursday,8,19,330,Extreme
14831,SOUTHERN,Saturday,6,23,329,Extreme
14758,SOUTHERN,Saturday,3,22,329,Extreme
15354,SOUTHERN,Thursday,4,18,329,Extreme
14465,SOUTHERN,Monday,3,17,329,Extreme
14784,SOUTHERN,Saturday,5,0,328,Extreme
14327,SOUTHERN,Friday,9,23,327,Extreme
15900,SOUTHERN,Wednesday,3,12,327,Extreme
14131,SOUTHERN,Friday,1,19,327,Extreme
15667,SOUTHERN,Tuesday,5,19,327,Extreme
