,year,district,Crime Frequency
0,2003,BAYVIEW,15049
1,2003,CENTRAL,13496
2,2003,INGLESIDE,13291
3,2003,MISSION,20616
4,2003,NORTHERN,18640
5,2003,PARK,7809
6,2003,RICHMOND,7535
7,2003,SOUTHERN,25367
8,2003,TARAVAL,10686
9,2003,TENDERLOIN,12584
10,2004,BAYVIEW,15237
11,2004,CENTRAL,13681
12,2004,INGLESIDE,13361
13,2004,MISSION,20515
14,2004,NORTHERN,18500
15,2004,PARK,7867
16,2004,RICHMOND,7619
17,2004,SOUTHERN,24220
18,2004,TARAVAL,11378
19,2004,TENDERLOIN,11945
20,2005,BAYVIEW,14427
21,2005,CENTRAL,13158
22,2005,INGLESIDE,12832
23,2005,MISSION,19097
24,2005,NORTHERN,18396
25,2005,PARK,7811
26,2005,RICHMOND,7124
27,2005,SOUTHERN,22823
28,2005,TARAVAL,11196
29,2005,TENDERLOIN,11943
30,2006,BAYVIEW,13403
31,2006,CENTRAL,12944
32,2006,INGLESIDE,12165
33,2006,MISSION,18326
34,2006,NORTHERN,18360
35,2006,PARK,7545
36,2006,RICHMOND,6285
37,2006,SOUTHERN,23039
38,2006,TARAVAL,10030
39,2006,TENDERLOIN,11629
40,2007,BAYVIEW,13132
41,2007,CENTRAL,13183
42,2007,INGLESIDE,12251
43,2007,MISSION,17887
44,2007,NORTHERN,16144
45,2007,PARK,6976
46,2007,RICHMOND,6427
47,2007,SOUTHERN,23786
48,2007,TARAVAL,9306
49,2007,TENDERLOIN,14509
50,2008,BAYVIEW,13028
51,2008,CENTRAL,13428
52,2008,INGLESIDE,11704
53,2008,MISSION,19218
54,2008,NORTHERN,15812
55,2008,PARK,6844
56,2008,RICHMOND,6692
57,2008,SOUTHERN,23811
58,2008,TARAVAL,10159
59,2008,TENDERLOIN,16417
60,2009,BAYVIEW,12807
61,2009,CENTRAL,12931
62,2009,INGLESIDE,11631
63,2009,MISSION,18627
64,2009,NORTHERN,15647
65,2009,PARK,7236
66,2009,RICHMOND,6675
67,2009,SOUTHERN,24082
68,2009,TARAVAL,9800
69,2009,TENDERLOIN,16782
70,2010,BAYVIEW,13293
71,2010,CENTRAL,12050
72,2010,INGLESIDE,11814
73,2010,MISSION,17584
74,2010,NORTHERN,14000
75,2010,PARK,6615
76,2010,RICHMOND,6345
77,2010,SOUTHERN,25645
78,2010,TARAVAL,8856
79,2010,TENDERLOIN,13548
80,2011,BAYVIEW,12982
81,2011,CENTRAL,12605
82,2011,INGLESIDE,11382
83,2011,MISSION,17737
84,2011,NORTHERN,14413
85,2011,PARK,7220
86,2011,RICHMOND,6430
87,2011,SOUTHERN,24173
88,2011,TARAVAL,9473
89,2011,TENDERLOIN,12148
90,2012,BAYVIEW,13755
91,2012,CENTRAL,13852
92,2012,INGLESIDE,12021
93,2012,MISSION,18323
94,2012,NORTHERN,16132
95,2012,PARK,8511
96,2012,RICHMOND,7511
97,2012,SOUTHERN,25468
98,2012,TARAVAL,10186
99,2012,TENDERLOIN,11575
100,2013,BAYVIEW,14271
101,2013,CENTRAL,14663
102,2013,INGLESIDE,12707
103,2013,MISSION,20683
104,2013,NORTHERN,17946
105,2013,PARK,9225
106,2013,RICHMOND,8311
107,2013,SOUTHERN,28855
108,2013,TARAVAL,10255
109,2013,TENDERLOIN,12723
110,2014,BAYVIEW,13422
111,2014,CENTRAL,17198
112,2014,INGLESIDE,12381
113,2014,MISSION,18905
114,2014,NORTHERN,18237
115,2014,PARK,9131
116,2014,RICHMOND,7820
117,2014,SOUTHERN,28496
118,2014,TARAVAL,10154
119,2014,TENDERLOIN,11312
120,2015,BAYVIEW,14264
121,2015,CENTRAL,18383
122,2015,INGLESIDE,12974
123,2015,MISSION,18243
124,2015,NORTHERN,19920
125,2015,PARK,9134
126,2015,RICHMOND,8924
127,2015,SOUTHERN,29697
128,2015,TARAVAL,11648
129,2015,TENDERLOIN,10584
130,2016,BAYVIEW,13997
131,2016,CENTRAL,17535
132,2016,INGLESIDE,11276
133,2016,MISSION,19336
134,2016,NORTHERN,19979
135,2016,PARK,8449
136,2016,RICHMOND,8806
137,2016,SOUTHERN,28183
138,2016,TARAVAL,10970
139,2016,TENDERLOIN,9847
140,2017,BAYVIEW,13663
141,2017,CENTRAL,18796
142,2017,INGLESIDE,11206
143,2017,MISSION,21529
144,2017,NORTHERN,20915
145,2017,PARK,8324
146,2017,RICHMOND,9309
147,2017,SOUTHERN,28074
148,2017,TARAVAL,11310
149,2017,TENDERLOIN,8633
150,2018,BAYVIEW,3999
151,2018,CENTRAL,6059
152,2018,INGLESIDE,3649
153,2018,MISSION,6446
154,2018,NORTHERN,6188
155,2018,PARK,2373
156,2018,RICHMOND,2454
157,2018,SOUTHERN,8515
158,2018,TARAVAL,3303
159,2018,TENDERLOIN,2855
