,day,district,Crime Frequency
0,Friday,BAYVIEW,32020
1,Friday,CENTRAL,35132
2,Friday,INGLESIDE,28077
3,Friday,MISSION,43968
4,Friday,NORTHERN,41250
5,Friday,PARK,18603
6,Friday,RICHMOND,17435
7,Friday,SOUTHERN,61765
8,Friday,TARAVAL,24152
9,Friday,TENDERLOIN,26269
10,Monday,BAYVIEW,29831
11,Monday,CENTRAL,29472
12,Monday,INGLESIDE,26674
13,Monday,MISSION,40370
14,Monday,NORTHERN,36618
15,Monday,PARK,17140
16,Monday,RICHMOND,16092
17,Monday,SOUTHERN,52943
18,Monday,TARAVAL,22678
19,Monday,TENDERLOIN,27053
20,Saturday,BAYVIEW,29450
21,Saturday,CENTRAL,36522
22,Saturday,INGLESIDE,25982
23,Saturday,MISSION,42282
24,Saturday,NORTHERN,39989
25,Saturday,PARK,16892
26,Saturday,RICHMOND,16510
27,Saturday,SOUTHERN,58634
28,Saturday,TARAVAL,21913
29,Saturday,TENDERLOIN,25391
30,Sunday,BAYVIEW,28066
31,Sunday,CENTRAL,31809
32,Sunday,INGLESIDE,24429
33,Sunday,MISSION,39451
34,Sunday,NORTHERN,36951
35,Sunday,PARK,16264
36,Sunday,RICHMOND,15512
37,Sunday,SOUTHERN,51962
38,Sunday,TARAVAL,20456
39,Sunday,TENDERLOIN,23963
40,Thursday,BAYVIEW,29871
41,Thursday,CENTRAL,30686
42,Thursday,INGLESIDE,26875
43,Thursday,MISSION,41617
44,Thursday,NORTHERN,38109
45,Thursday,PARK,17278
46,Thursday,RICHMOND,16275
47,Thursday,SOUTHERN,56783
48,Thursday,TARAVAL,22790
49,Thursday,TENDERLOIN,27848
50,Tuesday,BAYVIEW,30378
51,Tuesday,CENTRAL,29599
52,Tuesday,INGLESIDE,27112
53,Tuesday,MISSION,41963
54,Tuesday,NORTHERN,37558
55,Tuesday,PARK,16948
56,Tuesday,RICHMOND,16010
57,Tuesday,SOUTHERN,55058
58,Tuesday,TARAVAL,23202
59,Tuesday,TENDERLOIN,29068
60,Wednesday,BAYVIEW,31113
61,Wednesday,CENTRAL,30742
62,Wednesday,INGLESIDE,27496
63,Wednesday,MISSION,43421
64,Wednesday,NORTHERN,38754
65,Wednesday,PARK,17945
66,Wednesday,RICHMOND,16433
67,Wednesday,SOUTHERN,57089
68,Wednesday,TARAVAL,23519
69,Wednesday,TENDERLOIN,29442
